שנה/ חודש,סוג אסדרה,תחרות באספקה/ אסדרה קיימת,ביתי/ לא ביתי,סיבות לססטוס  ,פירוט סיבת סטטוס ,סטטוס,מספר בקשות
2022/06,מספקים וירטואליים,תחרות באספקה,ביתי,ייפוי כוח חסר/לא תקין,ייפוי כוח חסר/לא תקין,נדחה,1
2022/06,מספקים וירטואליים,תחרות באספקה,ביתי,אחר,לא נמצא מידע תואם במערכת המקור,נדחה,1
2022/06,מספקים וירטואליים,תחרות באספקה,ביתי,בעיות תקשורת במונה,לפחות אחד המונים אינו בר ניוד,נדחה,6
2022/06,מספקים וירטואליים,תחרות באספקה,לא ביתי,אחר,אי תאימות במונים שהוגשו,נדחה,2
2022/06,מספקים וירטואליים,תחרות באספקה,לא ביתי,אחר,"החוזה לא ניתן לניוד ע""פ מערכות חחי",נדחה,82
2022/06,מספקים וירטואליים,תחרות באספקה,לא ביתי,אחר,החוזה לא פעיל,נדחה,2
2022/06,מספקים וירטואליים,תחרות באספקה,לא ביתי,ייפוי כוח חסר/לא תקין,ייפוי כוח חסר/לא תקין,נדחה,1
2022/06,מספקים וירטואליים,תחרות באספקה,לא ביתי,בעיות במילוי בקשת הניוד,לא כל מוני החוזה הוגשו,נדחה,5
2022/06,מספקים וירטואליים,תחרות באספקה,לא ביתי,אחר,לא נמצא מידע תואם במערכת המקור,נדחה,5
2022/06,מספקים וירטואליים,תחרות באספקה,לא ביתי,בעיות תקשורת במונה,לפחות אחד המונים אינו בר ניוד,נדחה,207
2022/06,מספקים וירטואליים,תחרות באספקה,לא ביתי,בעיות תקשורת במונה,לפחות לאחד המונים אין יכולות קריאה מרחוק,נדחה,2
2022/06,מספקים וירטואליים,תחרות באספקה,לא ביתי,בעיות במילוי בקשת הניוד,תאריך מבוקש לניוד לא תקין,נדחה,9
2022/07,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,אושר לניוד,תהליך הניוד הושלם,הושלם,81
2022/07,מספקים וירטואליים,תחרות באספקה,ביתי,אושר לניוד,תהליך הניוד הושלם,הושלם,29
2022/07,מספקים וירטואליים,תחרות באספקה,לא ביתי,אושר לניוד,תהליך הניוד הושלם,הושלם,20
2022/07,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,אחר,החוזה לא פעיל,נדחה,1
2022/07,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,ייפוי כוח חסר/לא תקין,ייפוי כוח חסר/לא תקין,נדחה,1
2022/07,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,אחר,לא נמצא מידע תואם במערכת המקור,נדחה,1
2022/07,מספקים עם אמצעי ייצור,אסדרה קיימת,לא ביתי,בעיות תקשורת במונה,לפחות אחד המונים אינו בר ניוד,נדחה,1
2022/07,מספקים וירטואליים,תחרות באספקה,ביתי,אחר,"החוזה לא ניתן לניוד ע""פ מערכות חחי",נדחה,8
2022/07,מספקים וירטואליים,תחרות באספקה,ביתי,בעיות במילוי בקשת הניוד,חוזה זה כבר קיים למספק זה,נדחה,3
2022/07,מספקים וירטואליים,תחרות באספקה,ביתי,בעיות תקשורת במונה,לפחות אחד המונים אינו בר ניוד,נדחה,22
2022/07,מספקים וירטואליים,תחרות באספקה,ביתי,בעיות תקשורת במונה,לפחות אחד המונים בעל קריאה מרחוק לא תקינה,נדחה,2
2022/07,מספקים וירטואליים,תחרות באספקה,ביתי,בעיות במילוי בקשת הניוד,פרטי הזדהות איש קשר לא תקינים,נדחה,2
2022/07,מספקים וירטואליים,תחרות באספקה,לא ביתי,אחר,"החוזה לא ניתן לניוד ע""פ מערכות חחי",נדחה,13
2022/07,מספקים וירטואליים,תחרות באספקה,לא ביתי,אחר,החוזה לא פעיל,נדחה,1
2022/07,מספקים וירטואליים,תחרות באספקה,לא ביתי,בעיות במילוי בקשת הניוד,חוזה זה כבר קיים למספק זה,נדחה,2
2022/07,מספקים וירטואליים,תחרות באספקה,לא ביתי,ייפוי כוח חסר/לא תקין,ייפוי כוח חסר/לא תקין,נדחה,1
2022/07,מספקים וירטואליים,תחרות באספקה,לא ביתי,אחר,לא נמצא מידע תואם במערכת המקור,נדחה,3
2022/07,מספקים וירטואליים,תחרות באספקה,לא ביתי,בעיות תקשורת במונה,לפחות אחד המונים אינו בר ניוד,נדחה,10
2022/07,מספקים וירטואליים,תחרות באספקה,לא ביתי,בעיות תקשורת במונה,לפחות לאחד המונים אין יכולות קריאה מרחוק,נדחה,1
